start,finish,total
22-07-2020 19:00:37,22-07-2020 19:07:24,0:06:46
22-07-2020 19:25:57,22-07-2020 20:05:13,0:39:15
22-07-2020 20:10:06,22-07-2020 21:01:10,0:51:03
22-07-2020 21:22:59,22-07-2020 22:23:43,1:00:43
23-07-2020 00:07:21,23-07-2020 00:16:48,0:09:27
23-07-2020 00:27:41,23-07-2020 00:40:57,0:13:15
23-07-2020 00:50:01,23-07-2020 01:13:39,0:23:38
23-07-2020 16:07:42,23-07-2020 17:33:43,1:26:00
23-07-2020 21:19:18,23-07-2020 21:57:00,0:37:42
23-07-2020 23:15:51,24-07-2020 00:10:42,0:54:50
24-07-2020 14:05:19,24-07-2020 14:28:02,0:22:42
24-07-2020 14:35:01,24-07-2020 15:00:12,0:25:10
25-07-2020 00:14:50,25-07-2020 01:17:58,1:03:08
