start,finish,total
22-07-2020 22:35:28,22-07-2020 23:12:10,0:36:42
23-07-2020 03:34:40,23-07-2020 03:34:44,0:00:03
23-07-2020 03:35:30,23-07-2020 03:35:40,0:00:10
23-07-2020 15:11:32,23-07-2020 15:57:20,0:45:48
24-07-2020 01:22:48,24-07-2020 01:49:25,0:26:36
25-07-2020 15:30:18,25-07-2020 16:29:19,0:59:01
26-07-2020 00:03:45,26-07-2020 00:58:55,0:55:10
26-07-2020 15:30:14,26-07-2020 16:30:07,0:59:52
26-07-2020 16:59:25,26-07-2020 17:34:08,0:34:42
27-07-2020 20:41:51,27-07-2020 21:34:02,0:52:10
27-07-2020 22:02:33,27-07-2020 23:01:47,0:59:14
