start,finish,total
22-07-2020 22:35:28,22-07-2020 23:12:10,0:36:42
23-07-2020 03:34:40,23-07-2020 03:34:44,0:00:03
23-07-2020 03:35:30,23-07-2020 03:35:40,0:00:10
23-07-2020 15:11:32,23-07-2020 15:57:20,0:45:48
24-07-2020 01:22:48,24-07-2020 01:49:25,0:26:36
25-07-2020 15:30:18,25-07-2020 16:29:19,0:59:01
26-07-2020 00:03:45,26-07-2020 00:58:55,0:55:10
26-07-2020 15:30:14,26-07-2020 16:30:07,0:59:52
26-07-2020 16:59:25,26-07-2020 17:34:08,0:34:42
27-07-2020 20:41:51,27-07-2020 21:34:02,0:52:10
27-07-2020 22:02:33,27-07-2020 23:01:47,0:59:14
28-07-2020 14:18:51,28-07-2020 15:01:51,0:42:59
28-07-2020 19:18:22,28-07-2020 19:41:00,0:22:37
28-07-2020 20:18:41,28-07-2020 20:52:57,0:34:16
28-07-2020 23:57:37,29-07-2020 00:15:43,0:18:05
29-07-2020 12:01:06,29-07-2020 12:46:37,0:45:31
29-07-2020 12:57:45,29-07-2020 13:23:49,0:26:03
29-07-2020 13:51:03,29-07-2020 15:04:41,1:13:38
30-07-2020 11:41:44,30-07-2020 12:48:19,1:06:35
30-07-2020 14:12:19,30-07-2020 14:43:24,0:31:04
30-07-2020 19:01:40,30-07-2020 19:48:37,0:46:56
30-07-2020 22:49:06,30-07-2020 23:20:59,0:31:53
30-07-2020 23:25:11,31-07-2020 00:10:02,0:44:50
